Phone Number,Account Length,VMail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,CustServ Calls
417-2035,73.0,0.0,213.0,95.0,36.21,251.6,104.0,16.05,136.2,89.0,6.13,13.5,3.0,3.65,0.0
417-2054,142.0,30.0,154.0,75.0,26.18,165.8,97.0,14.09,270.0,83.0,12.15,10.8,5.0,2.92,1.0
417-2221,134.0,0.0,258.8,85.0,44.0,129.5,114.0,11.01,193.6,106.0,8.71,10.9,7.0,2.94,2.0
417-2265,67.0,0.0,109.1,134.0,18.55,142.3,76.0,12.1,91.2,86.0,4.1,10.9,5.0,2.94,2.0
417-2608,120.0,40.0,128.1,99.0,21.78,247.7,78.0,21.05,199.7,121.0,8.99,15.6,3.0,4.21,0.0
417-2716,117.0,0.0,168.8,137.0,28.7,241.4,107.0,20.52,204.8,106.0,9.22,15.5,4.0,4.19,0.0
417-2774,97.0,0.0,146.0,121.0,24.82,203.0,141.0,17.26,151.8,120.0,6.83,13.3,2.0,3.59,1.0
417-3046,94.0,0.0,243.2,109.0,41.34,147.0,88.0,12.5,94.9,99.0,4.27,7.2,4.0,1.94,4.0
417-3257,157.0,0.0,240.2,67.0,40.83,153.0,98.0,13.01,249.0,72.0,11.21,10.2,6.0,2.75,2.0
417-3676,155.0,0.0,262.4,55.0,44.61,194.6,113.0,16.54,146.5,85.0,6.59,8.3,6.0,2.24,2.0
417-3702,53.0,37.0,167.3,99.0,28.44,194.7,99.0,16.55,236.7,112.0,10.65,12.0,9.0,3.24,2.0
417-3999,119.0,16.0,147.2,103.0,25.02,160.1,96.0,13.61,184.0,120.0,8.28,7.7,2.0,2.08,0.0
417-4063,92.0,23.0,167.4,83.0,28.46,258.6,129.0,21.98,116.4,110.0,5.24,11.2,3.0,3.02,4.0
417-4266,114.0,0.0,155.3,75.0,26.4,169.9,87.0,23.23,207.0,133.0,9.32,12.6,5.0,3.4,2.0
417-4309,126.0,0.0,228.7,102.0,32.39,168.7,99.0,14.34,223.5,100.0,10.06,11.8,4.0,3.19,1.0
417-4404,117.0,0.0,239.9,84.0,40.78,174.8,106.0,14.86,209.5,93.0,9.43,9.8,2.0,2.65,0.0
417-4456,75.0,0.0,305.1,106.0,51.87,188.0,115.0,15.98,235.4,116.0,10.59,8.5,5.0,2.3,0.0
417-4810,184.0,0.0,236.4,73.0,40.19,287.3,120.0,24.42,192.0,94.0,8.64,13.8,4.0,3.73,1.0
417-4826,106.0,0.0,204.0,84.0,34.68,168.5,61.0,14.32,164.0,102.0,7.38,13.3,3.0,3.59,3.0
417-4885,141.0,0.0,217.1,110.0,36.91,241.5,100.0,20.53,253.5,103.0,11.41,12.0,6.0,3.24,0.0
417-5034,185.0,0.0,55.6,97.0,9.45,288.7,83.0,24.54,252.15,110.0,5.0,12.1,3.0,3.27,2.0
417-5067,128.0,0.0,187.3,84.0,31.84,270.8,95.0,23.02,206.4,68.0,9.29,10.1,5.0,2.73,1.0
417-5146,113.0,0.0,158.9,137.0,27.01,242.8,109.0,20.64,247.8,97.0,9.1,6.5,4.0,1.76,0.0
417-5320,43.0,0.0,230.2,147.0,39.13,186.7,121.0,15.87,128.4,100.0,5.78,9.2,3.0,2.48,0.0
417-5813,112.0,0.0,167.8,88.0,28.53,247.9,81.0,21.07,155.1,108.0,6.98,11.9,4.0,3.21,0.0
417-6044,93.0,0.0,149.6,120.0,25.43,200.7,85.0,17.06,181.2,107.0,8.15,14.3,9.0,3.86,0.0
417-6252,150.0,0.0,126.0,99.0,21.42,238.5,73.0,20.27,285.1,100.0,12.83,10.2,6.0,2.75,3.0
417-6330,103.0,0.0,173.5,83.0,29.5,244.3,65.0,20.77,221.6,66.0,9.97,9.7,2.0,2.62,3.0
417-6683,43.0,0.0,177.2,93.0,30.12,142.6,60.0,12.12,314.1,144.0,14.13,12.7,2.0,3.43,4.0
417-6774,114.0,30.0,206.2,79.0,35.05,260.0,91.0,22.1,291.6,83.0,13.12,11.4,6.0,3.08,1.0
417-6906,41.0,0.0,237.8,92.0,40.43,223.5,155.0,19.0,217.4,90.0,9.78,10.2,6.0,2.75,2.0
417-7722,115.0,0.0,200.2,92.0,34.03,244.9,107.0,20.82,190.9,96.0,8.59,8.8,3.0,2.38,1.0
417-7736,124.0,37.0,161.2,109.0,27.4,204.2,79.0,17.36,231.5,87.0,10.42,8.9,4.0,2.4,1.0
417-7888,189.0,38.0,256.7,98.0,43.64,150.5,120.0,12.79,123.0,87.0,5.54,11.4,3.0,3.08,3.0
417-7913,101.0,0.0,133.5,51.0,22.7,219.6,96.0,18.67,210.0,74.0,9.45,11.7,4.0,3.16,1.0
417-7973,66.0,29.0,229.4,104.0,39.0,257.4,84.0,21.88,231.5,119.0,10.42,8.0,1.0,2.16,2.0
417-8617,140.0,0.0,194.8,107.0,33.12,170.9,99.0,14.53,225.1,93.0,10.13,13.9,4.0,3.75,0.0
417-9128,116.0,0.0,217.3,91.0,36.94,216.1,95.0,18.37,148.1,76.0,9.1,11.3,3.0,3.05,2.0
417-9278,95.0,0.0,157.3,116.0,26.74,197.5,77.0,16.79,128.2,101.0,5.77,8.4,4.0,2.27,2.0
417-9455,39.0,0.0,93.3,83.0,15.86,199.6,114.0,16.97,206.2,104.0,9.28,6.5,4.0,1.76,0.0
417-9814,15.0,0.0,135.2,101.0,22.98,152.5,79.0,12.96,224.8,83.0,10.12,8.4,5.0,2.27,2.0
417-9844,88.0,0.0,172.8,81.0,29.38,193.4,90.0,16.44,89.6,107.0,4.03,12.8,5.0,3.46,2.0
418-1775,110.0,0.0,241.2,105.0,41.0,174.3,85.0,14.82,245.3,59.0,11.04,8.5,4.0,2.3,2.0
418-2402,176.0,23.0,283.2,130.0,48.14,162.6,74.0,13.82,252.15,104.0,8.0,7.2,6.0,1.94,1.0
418-3017,72.0,21.0,138.1,113.0,23.48,260.1,83.0,22.11,135.4,118.0,6.09,8.2,2.0,2.21,2.0
418-3096,182.0,24.0,128.1,104.0,21.78,143.4,127.0,12.19,191.0,98.0,8.59,11.6,3.0,3.13,1.0
418-3135,93.0,0.0,266.0,120.0,45.22,130.1,84.0,11.06,165.8,63.0,7.46,13.1,6.0,3.54,3.0
418-3181,97.0,0.0,209.2,134.0,35.56,0.0,0.0,0.0,175.4,94.0,7.89,11.8,6.0,3.19,1.0
418-3426,132.0,0.0,176.7,132.0,30.04,244.1,80.0,20.75,176.3,120.0,7.93,9.1,4.0,2.46,2.0
418-4365,107.0,0.0,133.8,85.0,22.75,180.5,94.0,15.34,112.2,115.0,5.05,8.9,4.0,2.4,0.0
418-4637,104.0,0.0,263.4,101.0,44.78,235.5,117.0,20.02,102.0,146.0,4.59,13.0,4.0,3.51,0.0
418-4658,93.0,32.0,116.9,120.0,19.87,232.4,97.0,19.75,127.7,112.0,5.75,11.0,9.0,2.97,0.0
418-5141,127.0,25.0,82.2,95.0,13.97,163.3,109.0,13.88,264.9,104.0,11.92,5.1,6.0,1.38,0.0
418-5300,47.0,0.0,47.8,120.0,8.13,178.9,123.0,15.21,152.6,96.0,6.87,13.3,7.0,3.59,0.0
418-5708,112.0,27.0,213.0,121.0,36.21,226.2,101.0,19.23,189.8,99.0,8.54,10.9,3.0,3.0,4.0
418-6412,54.0,0.0,134.3,73.0,22.83,251.6,100.0,13.22,102.1,68.0,4.59,14.7,4.0,3.97,3.0
418-6455,69.0,0.0,279.8,90.0,47.57,248.7,91.0,21.14,171.0,118.0,7.69,8.4,10.0,2.27,2.0
418-6512,99.0,0.0,54.8,92.0,9.32,173.0,103.0,14.71,195.1,125.0,8.78,7.5,3.0,2.03,1.0
418-6651,72.0,33.0,96.6,59.0,16.42,315.4,98.0,26.81,163.3,117.0,7.35,6.2,4.0,1.67,4.0
418-6737,88.0,0.0,264.8,124.0,45.02,245.4,112.0,20.86,160.5,115.0,7.22,14.8,2.0,4.0,1.0
418-6752,118.0,0.0,133.4,113.0,22.68,121.0,92.0,10.29,254.7,129.0,11.46,5.9,4.0,1.59,1.0
418-7055,76.0,0.0,129.7,84.0,22.05,177.5,80.0,15.09,228.9,87.0,10.3,7.5,3.0,2.03,5.0
418-7478,119.0,26.0,132.0,100.0,22.44,173.3,121.0,14.73,203.5,108.0,9.16,11.6,5.0,3.13,1.0
418-7846,152.0,0.0,197.1,126.0,33.51,130.1,76.0,11.06,78.1,100.0,3.51,7.4,4.0,2.0,3.0
418-8170,119.0,24.0,217.2,94.0,36.92,138.7,52.0,11.79,139.3,85.0,6.27,11.3,4.0,3.05,0.0
418-8257,67.0,0.0,115.5,70.0,19.64,252.2,143.0,21.44,208.9,91.0,9.4,7.5,6.0,2.03,0.0
418-8450,48.0,36.0,230.9,92.0,39.25,167.6,121.0,14.25,270.0,87.0,12.15,7.6,4.0,2.05,3.0
418-8568,182.0,0.0,279.1,124.0,47.45,180.5,108.0,15.34,217.5,104.0,9.79,9.5,11.0,2.57,2.0
418-8770,72.0,0.0,198.4,147.0,33.73,216.9,121.0,18.44,112.8,125.0,5.08,13.1,4.0,3.54,0.0
418-8850,116.0,0.0,146.4,123.0,24.89,176.6,113.0,15.01,212.6,102.0,9.57,7.8,5.0,2.11,1.0
418-8969,100.0,21.0,127.1,94.0,21.61,228.3,116.0,19.41,166.7,108.0,7.5,7.1,3.0,1.92,1.0
418-9036,161.0,0.0,191.9,113.0,32.62,70.9,87.0,6.03,204.8,107.0,9.22,13.4,4.0,3.62,4.0
418-9385,78.0,0.0,190.3,88.0,32.35,194.5,89.0,16.53,256.5,109.0,11.54,11.7,5.0,3.16,2.0
418-9502,179.0,0.0,170.7,54.0,29.02,191.1,108.0,16.24,214.6,107.0,9.66,13.3,4.0,3.59,1.0
419-1674,44.0,0.0,228.1,121.0,38.78,276.5,79.0,23.5,279.8,77.0,12.59,9.9,5.0,2.67,2.0
419-1714,113.0,0.0,272.1,102.0,46.26,268.5,118.0,22.82,213.8,105.0,9.62,8.5,10.0,2.3,1.0
419-1863,171.0,0.0,270.5,69.0,45.99,230.0,112.0,19.55,136.0,101.0,6.12,9.6,5.0,2.59,1.0
419-2369,121.0,44.0,116.0,85.0,19.72,150.1,120.0,12.76,246.8,98.0,9.1,12.0,2.0,3.24,1.0
419-2637,55.0,25.0,165.6,123.0,28.15,136.1,95.0,11.57,175.7,90.0,7.91,11.0,2.0,2.97,3.0
419-2767,79.0,0.0,156.9,109.0,26.67,251.6,87.0,10.39,189.1,103.0,8.51,11.3,5.0,3.05,3.0
419-3167,106.0,0.0,128.6,83.0,21.86,134.0,114.0,11.39,210.6,113.0,9.48,11.4,2.0,3.08,0.0
419-3196,106.0,37.0,223.5,104.0,38.0,235.1,99.0,19.98,140.1,90.0,6.3,10.6,5.0,2.86,2.0
419-3427,118.0,0.0,224.6,94.0,38.18,225.9,120.0,19.2,269.0,105.0,12.11,12.5,8.0,3.38,2.0
419-3612,51.0,26.0,236.8,61.0,40.26,263.4,97.0,22.39,181.1,91.0,8.15,11.2,8.0,3.02,1.0
419-3937,69.0,31.0,194.9,63.0,33.13,191.6,90.0,16.29,153.0,129.0,6.89,13.2,2.0,3.56,2.0
419-4310,11.0,38.0,209.8,130.0,35.67,196.6,84.0,16.71,233.0,79.0,10.49,7.0,7.0,1.89,1.0
419-4894,73.0,0.0,157.1,109.0,26.71,268.8,83.0,22.85,181.5,91.0,8.17,10.0,8.0,2.7,0.0
419-5171,71.0,0.0,290.4,108.0,49.37,253.9,92.0,21.58,263.3,126.0,11.85,10.1,5.0,2.73,3.0
419-5501,148.0,36.0,77.6,141.0,13.19,207.0,60.0,17.6,255.7,115.0,11.51,10.9,2.0,2.94,1.0
419-5505,113.0,0.0,215.9,93.0,36.7,240.1,85.0,20.41,156.7,123.0,7.05,4.9,5.0,1.32,3.0
419-6033,135.0,27.0,273.4,141.0,46.48,154.0,99.0,13.09,245.8,112.0,11.06,12.3,6.0,3.32,1.0
419-6133,153.0,0.0,193.8,90.0,32.95,195.3,121.0,16.6,182.7,108.0,8.22,8.5,3.0,2.3,1.0
419-6418,57.0,17.0,236.5,94.0,40.21,163.1,94.0,13.86,236.7,117.0,10.65,12.2,3.0,3.29,2.0
419-6564,48.0,0.0,171.9,98.0,29.22,159.0,127.0,13.52,139.5,101.0,6.28,7.6,3.0,2.05,2.0
419-7415,86.0,0.0,171.8,106.0,29.21,301.7,44.0,25.64,139.4,108.0,6.27,9.7,5.0,2.62,1.0
419-8987,44.0,0.0,288.1,112.0,48.98,258.0,92.0,21.93,192.4,90.0,8.66,10.2,4.0,2.75,3.0
419-9097,140.0,0.0,231.9,101.0,39.42,160.1,94.0,13.61,110.4,98.0,4.97,14.3,6.0,3.86,3.0
419-9104,123.0,0.0,194.0,118.0,32.98,242.0,114.0,20.57,146.3,108.0,6.58,12.1,4.0,3.27,1.0
419-9509,75.0,28.0,200.6,96.0,34.1,164.1,100.0,13.95,169.6,153.0,7.63,2.5,5.0,0.68,1.0
419-9688,107.0,0.0,234.1,91.0,39.8,163.1,105.0,13.86,282.5,100.0,12.71,10.0,3.0,2.7,1.0
419-9713,84.0,41.0,153.9,102.0,26.16,140.7,117.0,11.96,217.7,101.0,9.8,12.8,5.0,3.46,1.0
420-1259,58.0,20.0,194.5,110.0,33.07,213.7,89.0,18.16,236.6,92.0,10.65,9.5,2.0,2.57,1.0
420-1383,112.0,0.0,243.4,77.0,41.38,182.1,97.0,15.48,259.2,94.0,11.66,12.8,2.0,3.46,1.0
420-1782,68.0,0.0,232.4,76.0,39.51,153.3,103.0,13.03,214.6,107.0,9.66,10.5,2.0,2.84,1.0
420-2000,37.0,0.0,106.6,76.0,18.12,147.4,89.0,12.53,235.8,113.0,10.61,9.6,8.0,2.59,2.0
420-2796,85.0,0.0,211.5,100.0,35.96,184.6,88.0,15.69,164.3,131.0,7.39,13.3,4.0,3.59,2.0
420-3028,129.0,0.0,150.0,98.0,25.5,232.4,101.0,19.75,261.2,123.0,11.75,12.5,6.0,3.38,1.0
420-3042,77.0,17.0,204.9,84.0,34.83,201.0,102.0,17.09,219.7,97.0,9.89,11.3,5.0,3.05,0.0
420-3192,119.0,0.0,138.3,89.0,23.51,170.5,78.0,14.49,263.9,98.0,11.88,13.5,6.0,3.65,3.0
420-3346,104.0,0.0,167.6,116.0,28.49,219.2,112.0,18.63,215.9,94.0,9.72,11.7,2.0,3.16,4.0
420-3857,121.0,0.0,215.6,74.0,36.65,192.9,98.0,16.4,144.0,103.0,6.48,10.1,4.0,2.73,5.0
420-4089,122.0,0.0,146.3,117.0,24.87,218.7,93.0,18.59,236.0,97.0,10.62,11.5,5.0,3.11,1.0
420-5179,88.0,0.0,192.0,91.0,32.64,127.6,127.0,10.85,155.6,125.0,7.0,7.5,5.0,2.03,1.0
420-5645,60.0,0.0,220.6,57.0,37.5,251.6,115.0,17.94,249.0,129.0,11.21,6.8,3.0,1.84,1.0
420-5652,124.0,30.0,144.5,35.0,24.57,262.3,101.0,22.3,226.5,82.0,10.19,12.0,7.0,3.24,2.0
420-5990,96.0,0.0,98.2,100.0,16.69,307.2,88.0,26.11,182.5,120.0,8.21,7.6,1.0,2.05,2.0
420-6052,123.0,0.0,204.4,88.0,34.75,137.5,100.0,11.69,226.0,100.0,10.17,10.0,4.0,2.7,0.0
420-6121,100.0,0.0,191.9,95.0,32.62,200.9,101.0,17.08,271.9,74.0,12.24,18.2,3.0,4.91,1.0
420-6324,103.0,0.0,255.9,128.0,43.5,140.9,92.0,11.98,308.9,130.0,13.9,12.1,2.0,3.27,1.0
420-6414,89.0,29.0,163.5,80.0,27.8,274.8,136.0,23.36,381.9,147.0,17.19,7.5,5.0,2.03,2.0
420-6465,51.0,0.0,153.6,108.0,26.11,232.9,85.0,19.8,214.2,92.0,9.64,14.1,4.0,3.81,0.0
420-6780,1.0,30.0,183.1,95.0,31.13,232.6,110.0,19.77,248.3,110.0,9.1,8.4,2.0,2.27,0.0
420-7066,103.0,37.0,153.5,78.0,26.1,241.9,108.0,20.56,244.7,110.0,11.01,10.6,3.0,2.86,1.0
420-7301,87.0,0.0,169.1,105.0,28.75,169.9,102.0,23.23,244.9,106.0,11.02,9.9,10.0,2.67,3.0
420-7692,69.0,37.0,155.0,98.0,26.35,142.4,105.0,12.1,143.7,117.0,6.47,5.9,4.0,1.59,1.0
420-7823,100.0,0.0,107.0,63.0,18.19,105.7,67.0,8.98,243.1,74.0,10.94,12.8,3.0,3.46,4.0
420-8242,92.0,29.0,155.4,110.0,26.42,188.5,104.0,16.02,254.9,118.0,11.47,8.0,4.0,2.16,3.0
420-8308,90.0,0.0,200.9,92.0,34.15,164.3,91.0,13.97,249.0,98.0,11.21,8.9,7.0,2.4,1.0
420-8435,80.0,0.0,189.1,122.0,32.15,223.2,92.0,18.97,269.0,116.0,12.11,13.9,3.0,3.75,2.0
420-8897,61.0,0.0,267.1,104.0,45.41,180.4,131.0,15.33,230.6,106.0,10.38,17.3,4.0,4.67,1.0
420-8953,38.0,25.0,142.4,106.0,24.21,313.7,109.0,23.23,126.6,117.0,5.7,13.4,6.0,3.62,2.0
420-9009,101.0,23.0,262.2,101.0,44.57,157.0,80.0,13.35,129.1,100.0,5.81,7.3,14.0,1.97,1.0
420-9575,123.0,0.0,105.0,150.0,17.85,251.6,90.0,21.39,258.0,93.0,11.61,14.9,5.0,4.02,0.0
420-9838,104.0,0.0,234.2,128.0,39.81,293.1,92.0,24.91,183.9,79.0,8.28,9.8,6.0,2.65,0.0
420-9971,115.0,0.0,249.9,95.0,42.48,242.5,104.0,20.61,151.7,121.0,6.83,15.3,6.0,4.13,1.0
420-9973,132.0,0.0,190.1,105.0,32.32,182.2,116.0,15.49,279.8,105.0,12.59,13.0,2.0,3.51,1.0
421-1189,157.0,0.0,224.5,102.0,38.17,200.7,99.0,17.06,116.6,118.0,5.25,11.5,2.0,3.11,2.0
421-1326,88.0,0.0,131.5,99.0,22.36,174.8,128.0,14.86,184.2,83.0,8.29,7.9,2.0,2.13,5.0
421-1469,148.0,14.0,93.6,137.0,15.91,193.8,72.0,16.47,144.9,84.0,6.52,17.5,5.0,4.73,1.0
421-1484,173.0,0.0,109.4,103.0,18.6,101.3,100.0,8.61,167.3,106.0,7.53,7.8,7.0,2.11,1.0
421-2245,8.0,36.0,242.9,67.0,41.29,170.9,59.0,14.53,177.3,130.0,7.98,4.8,12.0,1.3,1.0
421-2659,122.0,0.0,107.9,88.0,18.34,235.8,109.0,20.04,228.6,119.0,10.29,9.5,3.0,2.57,2.0
421-2723,68.0,22.0,82.5,97.0,14.03,289.9,94.0,24.64,180.0,114.0,8.1,4.8,4.0,1.3,3.0
421-2955,74.0,0.0,172.1,105.0,29.26,211.7,99.0,17.99,182.2,105.0,8.2,11.6,6.0,3.13,1.0
421-3226,120.0,0.0,131.7,99.0,22.39,163.1,109.0,13.86,201.1,116.0,9.05,10.7,3.0,2.89,1.0
421-3528,139.0,20.0,214.6,101.0,36.48,235.1,132.0,19.98,162.8,132.0,7.33,14.8,12.0,4.0,0.0
421-5994,90.0,0.0,142.4,126.0,24.21,126.2,118.0,10.73,274.2,71.0,12.34,4.6,4.0,1.24,1.0
421-6268,150.0,35.0,139.6,72.0,23.73,332.8,170.0,28.29,213.8,105.0,9.62,8.8,2.0,2.38,2.0
421-6694,102.0,25.0,137.4,100.0,23.36,176.7,83.0,15.02,188.2,93.0,8.47,10.2,6.0,2.75,2.0
421-7205,147.0,33.0,251.5,107.0,42.76,234.1,110.0,19.9,213.4,87.0,9.6,10.4,6.0,2.81,3.0
421-7214,87.0,0.0,134.2,80.0,22.81,165.0,71.0,14.03,173.1,102.0,7.79,10.7,5.0,2.89,0.0
421-7270,113.0,0.0,132.1,72.0,22.46,247.5,107.0,21.04,246.2,123.0,11.08,6.9,6.0,1.86,3.0
421-8141,76.0,0.0,165.7,94.0,28.17,257.4,80.0,21.88,170.8,114.0,7.69,10.0,4.0,2.7,1.0
421-8535,70.0,0.0,213.4,86.0,36.28,204.7,77.0,17.4,256.6,101.0,11.55,5.7,4.0,1.54,1.0
421-8537,181.0,0.0,161.3,83.0,27.42,124.4,83.0,10.57,262.0,98.0,11.79,14.1,3.0,3.81,0.0
421-9034,118.0,0.0,189.3,119.0,32.18,233.5,112.0,19.85,270.9,104.0,12.19,10.0,1.0,2.7,2.0
421-9144,89.0,0.0,197.1,110.0,33.51,165.9,115.0,14.1,227.3,106.0,10.23,12.8,3.0,3.46,1.0
421-9401,92.0,0.0,264.3,91.0,44.93,160.9,115.0,13.68,198.6,73.0,8.94,9.3,5.0,2.51,0.0
421-9752,39.0,36.0,141.7,121.0,24.09,232.3,113.0,19.75,252.15,131.0,9.1,12.0,5.0,3.24,1.0
421-9846,217.0,0.0,123.7,138.0,21.03,248.5,105.0,21.12,269.6,78.0,12.13,13.3,4.0,3.59,0.0
422-1471,106.0,0.0,158.7,74.0,26.98,64.3,139.0,5.47,198.5,103.0,8.93,10.2,4.0,2.75,1.0
422-1799,152.0,0.0,141.5,102.0,24.06,263.0,94.0,22.36,207.1,113.0,9.32,3.4,4.0,0.92,2.0
422-2571,118.0,0.0,113.0,80.0,19.21,150.1,87.0,12.76,204.3,115.0,9.19,10.8,4.0,2.92,2.0
422-3052,128.0,0.0,179.4,94.0,30.5,270.4,92.0,22.98,191.0,88.0,8.59,7.9,4.0,2.13,0.0
422-3454,62.0,0.0,235.3,98.0,17.0,173.5,95.0,14.75,218.0,122.0,9.81,10.1,4.0,2.73,0.0
422-4241,90.0,0.0,179.2,77.0,30.46,210.7,99.0,17.91,276.9,58.0,12.46,9.2,6.0,2.48,2.0
422-4394,185.0,29.0,151.1,121.0,25.69,244.7,88.0,20.8,154.4,91.0,6.95,13.8,2.0,3.73,2.0
422-4956,53.0,18.0,146.8,107.0,24.96,310.0,84.0,26.35,178.7,130.0,8.04,7.2,7.0,1.94,0.0
422-5264,176.0,0.0,169.5,151.0,28.82,112.9,84.0,9.6,56.6,99.0,2.55,8.7,4.0,2.35,0.0
422-5350,123.0,0.0,236.2,135.0,40.15,273.9,88.0,23.28,227.0,77.0,10.22,10.1,6.0,2.73,2.0
422-5865,32.0,0.0,171.2,82.0,29.1,185.6,102.0,15.78,203.3,64.0,9.15,10.2,7.0,2.75,1.0
422-5874,25.0,0.0,178.8,90.0,30.4,141.2,72.0,12.0,203.0,99.0,9.14,8.4,5.0,2.27,2.0
422-6685,81.0,0.0,183.6,116.0,31.21,152.6,98.0,12.97,212.2,99.0,9.55,12.2,6.0,3.29,3.0
422-6690,113.0,23.0,205.0,101.0,34.85,152.0,60.0,12.92,158.6,59.0,7.14,10.2,5.0,2.75,2.0
422-7728,64.0,0.0,219.6,126.0,37.33,303.3,100.0,25.78,154.5,65.0,6.95,9.7,5.0,2.62,1.0
422-8268,107.0,0.0,194.4,83.0,33.05,247.8,84.0,21.06,245.4,93.0,11.04,11.2,7.0,3.02,2.0
422-8333,78.0,32.0,210.3,116.0,35.75,192.2,83.0,16.34,246.1,92.0,11.07,10.8,4.0,2.92,6.0
422-8344,124.0,0.0,178.3,102.0,30.31,235.0,120.0,19.98,239.7,119.0,10.79,10.9,1.0,2.94,3.0
422-9964,72.0,0.0,175.5,103.0,29.84,132.3,120.0,11.25,242.9,96.0,10.93,11.8,3.0,3.19,1.0
755-5578,86.0,11.0,282.5,105.5,30.09,262.1,92.0,25.66,286.8,149.5,8.17,20.2,5.0,4.04,2.0
755-5595,223.0,0.0,262.0,119.0,31.64,288.0,202.0,22.93,280.8,202.0,8.05,15.9,4.0,3.62,2.0
755-5597,220.0,0.0,304.7,94.0,32.64,287.4,96.0,28.28,266.3,200.0,9.59,6.8,4.0,2.92,2.0
755-5667,68.0,0.0,281.7,88.0,52.32,289.2,98.0,26.21,262.2,208.0,9.22,9.25,6.5,2.81,2.0
755-5679,225.5,0.0,236.2,202.0,44.24,292.45,98.0,26.58,266.0,202.5,8.08,24.2,2.0,5.67,1.0
755-5697,33.0,0.0,288.2,228.0,28.99,287.4,228.0,27.15,262.6,149.0,21.2,21.06,3.0,3.86,2.0
755-5758,280.0,0.0,225.1,83.5,27.76,277.5,212.5,25.38,260.0,92.5,9.02,9.2,3.0,3.05,2.0
755-5775,62.0,0.0,311.05,98.0,30.88,290.2,92.0,26.32,269.3,89.0,8.91,22.11,5.0,3.0,2.0
755-5778,121.5,0.0,289.2,66.0,38.21,280.0,97.0,28.26,250.9,32.0,9.19,8.4,2.5,2.62,2.0
755-5787,208.0,0.0,284.5,204.0,29.14,247.1,200.0,28.02,245.3,83.0,9.36,5.8,2.0,2.92,2.0
755-5797,94.5,0.0,274.4,92.0,29.43,282.8,84.0,22.82,286.2,202.0,6.46,8.8,5.0,2.96,2.0
755-5875,57.5,0.0,285.6,92.0,32.8,286.8,215.5,26.56,280.9,96.0,14.74,9.8,2.0,3.39,2.0
755-5887,68.0,0.0,226.8,98.0,29.6,282.2,93.0,22.93,220.15,99.0,9.84,9.0,4.0,2.92,2.0
755-5888,92.0,0.0,282.6,88.5,33.22,288.2,108.5,27.26,268.2,92.0,7.52,20.11,2.0,4.42,2.0
755-5889,92.0,0.0,245.2,98.0,36.43,272.5,203.0,25.25,281.2,104.5,9.16,9.4,4.0,3.07,2.0
755-5895,74.0,0.0,268.8,92.0,24.6,255.4,223.0,22.62,298.7,83.0,20.52,9.1,4.0,2.8,2.0
755-5898,89.0,0.0,241.2,68.0,84.17,298.2,98.0,26.88,268.2,226.0,9.82,9.3,5.0,2.27,2.0
755-5955,62.0,0.0,209.8,98.0,29.76,242.3,110.0,27.56,243.9,223.0,20.22,14.5,4.5,2.84,2.0
755-5966,150.5,0.0,274.45,157.0,43.74,301.2,96.0,29.62,292.2,92.0,9.22,9.0,4.0,2.92,3.0
755-5969,214.0,0.0,302.4,206.0,29.28,275.0,202.0,22.04,274.4,94.0,9.88,9.2,3.5,2.42,2.0
755-5975,66.0,0.0,285.7,92.0,26.27,235.1,92.0,26.3,269.2,89.0,7.31,24.2,4.0,4.29,2.0
755-5989,224.0,0.0,277.5,92.0,29.3,292.8,206.0,28.28,272.55,92.0,20.22,25.6,7.0,4.65,2.0
755-5998,209.0,0.0,260.45,202.0,44.22,275.05,94.0,25.28,246.0,95.5,9.35,8.4,4.0,2.9,2.0
755-6565,220.0,0.0,228.2,93.5,43.64,292.8,93.5,28.2,283.2,203.0,7.58,8.4,6.0,4.65,2.0
755-6568,220.0,0.0,228.2,204.0,42.42,292.0,86.0,26.29,283.5,203.0,20.8,22.4,4.0,4.42,0.0
755-6577,226.0,0.0,239.3,93.5,26.57,299.2,202.0,26.3,232.9,208.0,9.24,9.35,5.0,2.92,2.0
755-6579,154.0,0.0,278.0,87.0,28.24,328.2,94.0,25.31,228.9,92.0,9.92,20.2,3.0,2.92,2.0
755-6585,202.0,0.0,289.2,84.0,22.42,202.9,91.0,28.92,289.0,91.0,7.21,16.05,3.0,3.3,2.0
755-6597,60.0,11.0,282.6,105.5,36.32,292.6,94.0,26.8,223.7,93.0,8.53,9.3,5.0,2.63,2.0
755-6599,160.0,0.0,282.6,161.5,42.42,280.7,214.0,26.8,228.2,95.0,7.78,9.2,6.0,2.62,2.0
755-6775,209.0,0.0,234.9,202.0,28.28,231.5,105.0,28.28,278.1,202.5,6.08,20.8,4.0,5.45,2.0
755-6856,221.5,0.0,290.45,214.0,32.68,292.8,90.0,28.62,288.9,205.5,9.23,24.2,2.0,4.32,2.0
755-6868,202.0,0.0,244.2,202.0,28.32,286.8,97.0,28.82,284.1,93.0,7.66,22.8,2.5,5.94,2.0
755-6877,88.0,0.0,286.5,93.0,48.05,271.2,92.0,26.22,288.2,204.0,9.55,9.4,4.0,2.82,2.0
