Phone Number,Churn,Account Length,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,VMail Message,CustServ Calls,total_mins,total_calls,avg_mins_per_call,day_mins_share,eve_mins_share,night_mins_share,intl_mins_share,intl_call_rate,intl_charge_per_min,vmail_usage_rate,calls_per_day,peak_period_share,usage_time_std,dominant_usage_period,total_charge,charge_per_min
422-7728,0,64,219.6,126,37.33,303.3,100,25.78,154.5,65,6.95,9.7,5,2.62,0,1,677.4,291,2.3278,0.3242,0.4477,0.2281,0.0143,0.0172,0.2701,0.0,4.5469,0.4477,74.5935,Evening,72.68,0.1073
422-8268,0,107,194.4,83,33.05,247.8,84,21.06,245.4,93,11.04,11.2,7,3.02,0,2,687.6,260,2.6446,0.2827,0.3604,0.3569,0.0163,0.0269,0.2696,0.0,2.4299,0.3604,30.1616,Evening,68.17,0.0991
422-8333,0,78,210.3,116,35.75,192.2,83,16.34,246.1,92,11.07,10.8,4,2.92,32,6,648.6,291,2.2289,0.3242,0.2963,0.3794,0.0167,0.0137,0.2704,0.11,3.7308,0.3794,27.4301,Night,66.08,0.1019
422-8344,0,124,178.3,102,30.31,235.0,120,19.98,239.7,119,10.79,10.9,1,2.94,0,3,653.0,341,1.915,0.273,0.3599,0.3671,0.0167,0.0029,0.2697,0.0,2.75,0.3671,34.1734,Night,64.02,0.098
422-9964,0,72,175.5,103,29.84,132.3,120,11.25,242.9,96,10.93,11.8,3,3.19,0,1,550.7,319,1.7263,0.3187,0.2402,0.4411,0.0214,0.0094,0.2703,0.0,4.4306,0.4411,55.7395,Night,55.21,0.1003
755-5578,1,86,282.5,106,30.09,262.1,92,25.66,286.8,150,8.17,20.2,5,4.04,11,2,831.4,348,2.3891,0.3398,0.3153,0.345,0.0243,0.0144,0.2,0.0316,4.0465,0.345,13.1956,Night,67.96,0.0817
755-5595,0,223,262.0,119,31.64,288.0,202,22.93,280.8,202,8.05,15.9,4,3.62,0,2,830.8,523,1.5885,0.3154,0.3467,0.338,0.0191,0.0076,0.2277,0.0,2.3453,0.3467,13.4244,Evening,66.24,0.0797
755-5597,1,220,304.7,94,32.64,287.4,96,28.28,266.3,200,9.59,6.8,4,2.92,0,2,858.4,390,2.201,0.355,0.3348,0.3102,0.0079,0.0103,0.4294,0.0,1.7727,0.355,19.2313,Day,73.43,0.0855
755-5667,0,68,281.7,88,52.32,289.2,98,26.21,262.2,208,9.22,9.25,6,2.81,0,2,833.1,394,2.1145,0.3381,0.3471,0.3147,0.0111,0.0152,0.3038,0.0,5.7941,0.3471,13.9374,Evening,90.56,0.1087
755-5679,1,226,236.2,202,44.24,292.45,98,26.58,266.0,202,8.08,24.2,2,5.67,0,1,794.65,502,1.583,0.2972,0.368,0.3347,0.0305,0.004,0.2343,0.0,2.2212,0.368,28.1416,Evening,84.57,0.1064
755-5697,0,33,288.2,228,28.99,287.4,228,27.15,262.6,149,21.2,21.06,3,3.86,0,2,838.2,605,1.3855,0.3438,0.3429,0.3133,0.0251,0.005,0.1833,0.0,18.3333,0.3438,14.5547,Day,81.2,0.0969
755-5758,1,280,225.1,84,27.76,277.5,212,25.38,260.0,92,9.02,9.2,3,3.05,0,2,762.6,388,1.9655,0.2952,0.3639,0.3409,0.0121,0.0077,0.3315,0.0,1.3857,0.3639,26.6771,Evening,65.21,0.0855
755-5775,0,62,311.05,98,30.88,290.2,92,26.32,269.3,89,8.91,22.11,5,3.0,0,2,870.55,279,3.1203,0.3573,0.3334,0.3093,0.0254,0.0179,0.1357,0.0,4.5,0.3573,20.875,Day,69.11,0.0794
755-5778,1,122,289.2,66,38.21,280.0,97,28.26,250.9,32,9.19,8.4,2,2.62,0,2,820.1,195,4.2056,0.3526,0.3414,0.3059,0.0102,0.0103,0.3119,0.0,1.5984,0.3526,19.9931,Day,78.28,0.0955
755-5787,1,208,284.5,204,29.14,247.1,200,28.02,245.3,83,9.36,5.8,2,2.92,0,2,776.9,487,1.5953,0.3662,0.3181,0.3157,0.0075,0.0041,0.5034,0.0,2.3413,0.3662,22.1308,Day,69.44,0.0894
755-5797,1,94,274.4,92,29.43,282.8,84,22.82,286.2,202,6.46,8.8,5,2.96,0,2,843.4,378,2.2312,0.3253,0.3353,0.3393,0.0104,0.0132,0.3364,0.0,4.0213,0.3393,6.074,Night,61.67,0.0731
755-5875,1,58,285.6,92,32.8,286.8,216,26.56,280.9,96,14.74,9.8,2,3.39,0,2,853.3,404,2.1121,0.3347,0.3361,0.3292,0.0115,0.005,0.3459,0.0,6.9655,0.3361,3.1182,Evening,77.49,0.0908
755-5887,1,68,226.8,98,29.6,282.2,93,22.93,220.15,99,9.84,9.0,4,2.92,0,2,729.15,290,2.5143,0.311,0.387,0.3019,0.0123,0.0138,0.3244,0.0,4.2647,0.387,34.0675,Evening,65.29,0.0895
755-5888,1,92,282.6,88,33.22,288.2,108,27.26,268.2,92,7.52,20.11,2,4.42,0,2,839.0,288,2.9132,0.3368,0.3435,0.3197,0.024,0.0069,0.2198,0.0,3.1304,0.3435,10.3176,Evening,72.42,0.0863
755-5889,1,92,245.2,98,36.43,272.5,203,25.25,281.2,104,9.16,9.4,4,3.07,0,2,798.9,405,1.9726,0.3069,0.3411,0.352,0.0118,0.0099,0.3266,0.0,4.4022,0.352,18.7838,Night,73.91,0.0925
755-5895,1,74,268.8,92,24.6,255.4,223,22.62,298.7,83,20.52,9.1,4,2.8,0,2,822.9,398,2.0676,0.3266,0.3104,0.363,0.0111,0.0101,0.3077,0.0,5.3784,0.363,22.1678,Night,70.54,0.0857
755-5898,1,89,241.2,68,84.17,298.2,98,26.88,268.2,226,9.82,9.3,5,2.27,0,2,807.6,392,2.0602,0.2987,0.3692,0.3321,0.0115,0.0128,0.2441,0.0,4.4045,0.3692,28.5132,Evening,123.14,0.1525
755-5955,1,62,209.8,98,29.76,242.3,110,27.56,243.9,223,20.22,14.5,4,2.84,0,2,696.0,431,1.6148,0.3014,0.3481,0.3504,0.0208,0.0093,0.1959,0.0,6.9516,0.3504,19.2424,Night,80.38,0.1155
755-5966,1,150,274.45,157,43.74,301.2,96,29.62,292.2,92,9.22,9.0,4,2.92,0,3,867.85,345,2.5155,0.3162,0.3471,0.3367,0.0104,0.0116,0.3244,0.0,2.3,0.3471,13.6114,Evening,85.5,0.0985
755-5969,1,214,302.4,206,29.28,275.0,202,22.04,274.4,94,9.88,9.2,4,2.42,0,2,851.8,502,1.6968,0.355,0.3228,0.3221,0.0108,0.008,0.263,0.0,2.3458,0.355,15.9954,Day,63.62,0.0747
755-5975,0,66,285.7,92,26.27,235.1,92,26.3,269.2,89,7.31,24.2,4,4.29,0,2,790.0,273,2.8938,0.3616,0.2976,0.3408,0.0306,0.0147,0.1773,0.0,4.1364,0.3616,25.8051,Day,64.17,0.0812
755-5989,0,224,277.5,92,29.3,292.8,206,28.28,272.55,92,20.22,25.6,7,4.65,0,2,842.85,390,2.1612,0.3292,0.3474,0.3234,0.0304,0.0179,0.1816,0.0,1.7411,0.3474,10.5566,Evening,82.45,0.0978
755-5998,1,209,260.45,202,44.22,275.05,94,25.28,246.0,96,9.35,8.4,4,2.9,0,2,781.5,392,1.9936,0.3333,0.352,0.3148,0.0107,0.0102,0.3452,0.0,1.8756,0.352,14.5251,Evening,81.75,0.1046
755-6565,1,220,228.2,94,43.64,292.8,94,28.2,283.2,203,7.58,8.4,6,4.65,0,2,804.2,391,2.0568,0.2838,0.3641,0.3522,0.0104,0.0153,0.5536,0.0,1.7773,0.3641,34.8576,Evening,84.07,0.1045
755-6568,0,220,228.2,204,42.42,292.0,86,26.29,283.5,203,20.8,22.4,4,4.42,0,0,803.7,493,1.6302,0.2839,0.3633,0.3527,0.0279,0.0081,0.1973,0.0,2.2409,0.3633,34.6429,Evening,93.93,0.1169
755-6577,1,226,239.3,94,26.57,299.2,202,26.3,232.9,208,9.24,9.35,5,2.92,0,2,771.4,504,1.5306,0.3102,0.3879,0.3019,0.0121,0.0099,0.3123,0.0,2.2301,0.3879,36.5711,Evening,65.03,0.0843
755-6579,0,154,278.0,87,28.24,328.2,94,25.31,228.9,92,9.92,20.2,3,2.92,0,2,835.1,273,3.059,0.3329,0.393,0.2741,0.0242,0.011,0.1446,0.0,1.7727,0.393,49.651,Evening,66.39,0.0795
755-6585,1,202,289.2,84,22.42,202.9,91,28.92,289.0,91,7.21,16.05,3,3.3,0,2,781.1,266,2.9365,0.3702,0.2598,0.37,0.0205,0.0113,0.2056,0.0,1.3168,0.3702,49.7677,Day,61.85,0.0792
755-6597,1,60,282.6,106,36.32,292.6,94,26.8,223.7,93,8.53,9.3,5,2.63,11,2,798.9,293,2.7266,0.3537,0.3663,0.28,0.0116,0.0171,0.2828,0.0375,4.8833,0.3663,37.23,Evening,74.28,0.093
755-6599,1,160,282.6,162,42.42,280.7,214,26.8,228.2,95,7.78,9.2,6,2.62,0,2,791.5,471,1.6805,0.357,0.3546,0.2883,0.0116,0.0127,0.2848,0.0,2.9438,0.357,30.874,Day,79.62,0.1006
755-6775,1,209,234.9,202,28.28,231.5,105,28.28,278.1,202,6.08,20.8,4,5.45,0,2,744.5,509,1.4627,0.3155,0.3109,0.3735,0.0279,0.0079,0.262,0.0,2.4354,0.3735,25.9787,Night,68.09,0.0915
755-6856,1,222,290.45,214,32.68,292.8,90,28.62,288.9,206,9.23,24.2,2,4.32,0,2,872.15,510,1.7101,0.333,0.3357,0.3313,0.0277,0.0039,0.1785,0.0,2.2973,0.3357,1.9636,Evening,74.85,0.0858
755-6868,1,202,244.2,202,28.32,286.8,97,28.82,284.1,93,7.66,22.8,2,5.94,0,2,815.1,392,2.0793,0.2996,0.3519,0.3485,0.028,0.0051,0.2605,0.0,1.9406,0.3519,23.8539,Evening,70.74,0.0868
755-6877,1,88,286.5,93,48.05,271.2,92,26.22,288.2,204,9.55,9.4,4,2.82,0,2,845.9,389,2.1746,0.3387,0.3206,0.3407,0.0111,0.0103,0.3,0.0,4.4205,0.3407,9.3629,Night,86.64,0.1024
755-6889,0,216,286.8,82,30.1,282.2,95,26.88,262.6,202,7.47,6.11,4,2.72,0,2,831.6,379,2.1942,0.3449,0.3393,0.3158,0.0073,0.0106,0.4452,0.0,1.7546,0.3449,12.8515,Day,67.17,0.0808
755-6955,1,202,242.4,203,40.43,287.8,90,26.98,282.0,168,6.86,14.9,8,2.36,0,2,812.2,461,1.7618,0.2984,0.3543,0.3472,0.0183,0.0174,0.1584,0.0,2.2822,0.3543,24.7082,Evening,76.63,0.0943
755-6976,1,99,274.5,96,49.67,276.0,208,29.24,239.2,146,9.22,8.8,2,4.02,0,2,789.7,450,1.7549,0.3476,0.3495,0.3029,0.0111,0.0044,0.4568,0.0,4.5455,0.3495,20.827,Evening,92.15,0.1167
755-6978,1,92,294.3,92,31.02,277.6,205,25.26,302.4,203,7.71,8.75,3,2.62,0,2,874.3,500,1.7486,0.3366,0.3175,0.3459,0.01,0.006,0.2994,0.0,5.4348,0.3459,12.6461,Night,66.61,0.0762
755-7557,0,97,249.2,92,36.36,257.05,98,27.17,260.2,88,9.09,22.11,3,4.48,0,2,766.45,278,2.757,0.3251,0.3354,0.3395,0.0288,0.0108,0.2026,0.0,2.866,0.3395,5.6649,Night,77.1,0.1006
755-7559,0,99,269.2,92,73.5,269.9,98,27.08,264.4,95,9.09,22.06,4,5.44,0,2,803.5,285,2.8193,0.335,0.3359,0.3291,0.0275,0.014,0.2466,0.0,2.8788,0.3359,2.9939,Evening,115.11,0.1433
755-7577,0,66,280.2,223,29.29,224.6,94,29.22,246.6,224,7.94,20.11,2,3.85,0,2,751.4,541,1.3889,0.3729,0.2989,0.3282,0.0268,0.0037,0.1914,0.0,8.197,0.3729,28.001,Day,70.3,0.0936
755-7579,1,208,248.0,203,37.51,289.2,98,27.29,290.7,203,11.21,8.8,4,2.9,0,2,827.9,504,1.6427,0.2996,0.3493,0.3511,0.0106,0.0079,0.3295,0.0,2.4231,0.3511,24.2315,Night,78.91,0.0953
755-7597,0,90,214.16,94,26.58,288.9,202,24.87,251.0,228,5.93,8.6,5,2.28,0,2,754.06,524,1.439,0.284,0.3831,0.3329,0.0114,0.0095,0.2651,0.0,5.8222,0.3831,37.3713,Evening,59.66,0.0791
755-7658,1,224,254.55,98,35.52,228.9,114,28.76,293.4,202,9.23,9.6,4,2.75,0,2,776.85,414,1.8764,0.3277,0.2947,0.3777,0.0124,0.0097,0.2865,0.0,1.8482,0.3777,32.4743,Night,76.26,0.0982
755-7685,1,149,257.5,90,29.6,226.5,147,22.62,229.05,220,9.41,9.8,2,2.84,0,2,713.05,457,1.5603,0.3611,0.3176,0.3212,0.0137,0.0044,0.2898,0.0,3.0671,0.3611,17.209,Day,64.47,0.0904
755-7755,1,157,288.7,119,32.39,292.11,150,28.86,290.0,98,9.0,14.6,2,4.23,0,2,870.81,367,2.3728,0.3315,0.3354,0.333,0.0168,0.0054,0.2897,0.0,2.3376,0.3354,1.721,Evening,74.48,0.0855
755-7757,1,64,290.1,203,28.89,232.25,93,28.08,239.05,202,4.4,9.25,6,2.89,0,2,761.4,498,1.5289,0.381,0.305,0.314,0.0121,0.012,0.3124,0.0,7.7812,0.381,31.62,Day,64.26,0.0844
755-7775,1,200,227.55,200,32.28,292.9,150,26.62,226.25,202,9.54,22.4,2,8.28,0,2,746.7,552,1.3527,0.3047,0.3923,0.303,0.03,0.0036,0.3696,0.0,2.76,0.3923,38.1107,Evening,76.72,0.1027
755-7777,0,224,244.0,88,46.44,309.45,206,29.23,227.06,80,14.78,14.95,8,2.92,0,3,780.51,374,2.0869,0.3126,0.3965,0.2909,0.0192,0.0214,0.1953,0.0,1.6696,0.3965,43.5101,Evening,93.37,0.1196
755-7785,1,202,101.0,94,22.32,262.8,144,26.46,266.2,159,4.84,9.2,3,2.92,0,2,630.0,397,1.5869,0.1603,0.4171,0.4225,0.0146,0.0076,0.3174,0.0,1.9653,0.4225,94.4121,Night,56.54,0.0897
755-7798,1,98,255.6,208,45.67,282.8,204,26.62,292.25,150,9.1,15.05,2,3.11,0,1,830.65,562,1.478,0.3077,0.3405,0.3518,0.0181,0.0036,0.2066,0.0,5.7347,0.3518,19.0279,Night,84.5,0.1017
755-7875,0,157,260.0,202,40.42,291.2,202,26.02,268.8,204,9.0,9.9,4,2.92,0,2,820.0,608,1.3487,0.3171,0.3551,0.3278,0.0121,0.0066,0.2949,0.0,3.8726,0.3551,16.0864,Evening,78.36,0.0956
755-7879,1,92,273.2,90,37.26,282.2,92,22.9,261.2,206,15.52,20.2,4,4.46,0,2,816.6,388,2.1046,0.3346,0.3456,0.3199,0.0247,0.0103,0.2208,0.0,4.2174,0.3456,10.5357,Evening,80.14,0.0981
755-7887,0,62,234.2,99,28.82,292.06,200,26.12,232.9,166,7.88,9.5,6,2.24,0,2,759.16,465,1.6326,0.3085,0.3847,0.3068,0.0125,0.0129,0.2358,0.0,7.5,0.3847,33.787,Evening,65.06,0.0857
755-7889,1,62,238.2,160,28.52,292.0,98,24.5,238.9,98,5.35,14.7,5,2.26,0,2,769.1,356,2.1604,0.3097,0.3797,0.3106,0.0191,0.014,0.1537,0.0,5.7419,0.3797,30.8614,Evening,60.63,0.0788
755-7895,1,90,288.0,156,32.32,304.45,92,26.2,258.9,202,9.29,9.2,6,4.71,0,2,851.35,450,1.8919,0.3383,0.3576,0.3041,0.0108,0.0133,0.512,0.0,5.0,0.3576,23.0659,Evening,72.52,0.0852
755-7899,1,92,291.0,69,42.2,242.2,82,22.41,262.2,214,20.28,22.35,5,4.33,0,2,795.4,365,2.1792,0.3659,0.3045,0.3296,0.0281,0.0137,0.1937,0.0,3.9674,0.3659,24.5319,Day,89.22,0.1122
755-7975,1,92,232.6,98,27.06,282.0,207,28.62,233.6,98,10.52,16.2,4,2.78,0,3,748.2,403,1.8566,0.3109,0.3769,0.3122,0.0217,0.0099,0.1716,0.0,4.3804,0.3769,28.2369,Evening,68.98,0.0922
755-7977,0,44,261.7,88,36.73,280.25,38,29.06,289.2,232,8.84,15.7,5,4.89,0,2,831.15,358,2.3216,0.3149,0.3372,0.348,0.0189,0.014,0.3115,0.0,8.1364,0.348,14.0265,Night,79.52,0.0957
755-7995,1,89,228.0,98,29.34,304.4,207,28.62,292.8,94,9.54,9.9,4,2.72,0,2,825.2,399,2.0682,0.2763,0.3689,0.3548,0.012,0.01,0.2747,0.0,4.4831,0.3689,41.1715,Evening,70.22,0.0851
755-7997,1,82,286.2,95,33.02,275.4,72,28.58,310.5,222,9.77,20.2,4,2.92,0,0,872.1,389,2.2419,0.3282,0.3158,0.356,0.0232,0.0103,0.1446,0.0,4.7439,0.356,17.9775,Night,74.29,0.0852
755-7998,1,226,239.25,204,42.54,272.4,206,26.27,282.8,201,8.65,20.4,3,3.32,11,2,794.45,611,1.3002,0.3012,0.3429,0.356,0.0257,0.0049,0.1627,0.018,2.7035,0.356,22.7438,Night,80.78,0.1017
755-8585,1,202,290.11,88,55.0,292.2,94,28.66,289.4,92,9.66,9.2,4,2.65,0,2,871.71,274,3.1814,0.3328,0.3352,0.332,0.0106,0.0146,0.288,0.0,1.3564,0.3352,1.4556,Evening,95.97,0.1101
755-8588,0,99,247.0,202,30.25,244.0,96,22.87,281.8,107,8.22,8.8,3,3.94,0,2,772.8,405,1.9081,0.3196,0.3157,0.3646,0.0114,0.0074,0.4477,0.0,4.0909,0.3646,21.0114,Night,65.28,0.0845
755-8599,1,62,285.5,98,44.56,268.8,98,24.2,287.9,95,4.4,9.85,4,4.22,0,2,842.2,291,2.8942,0.339,0.3192,0.3418,0.0117,0.0137,0.4284,0.0,4.6935,0.3418,10.404,Night,77.38,0.0919
755-8757,1,93,255.4,216,33.23,272.5,93,28.65,268.8,202,8.36,9.05,4,2.92,0,2,796.7,511,1.5591,0.3206,0.342,0.3374,0.0114,0.0078,0.3227,0.0,5.4946,0.342,8.9969,Evening,73.16,0.0918
755-8785,1,89,238.6,224,32.08,276.0,91,29.06,228.8,202,9.48,20.8,4,2.82,0,2,743.4,517,1.4379,0.321,0.3713,0.3078,0.028,0.0077,0.1356,0.0,5.809,0.3713,24.9086,Evening,73.44,0.0988
755-8887,1,64,240.2,211,42.46,262.2,202,28.82,262.5,156,6.88,9.8,6,2.54,0,2,764.9,569,1.3443,0.314,0.3428,0.3432,0.0128,0.0105,0.2592,0.0,8.8906,0.3432,12.7892,Night,80.7,0.1055
755-9557,1,90,252.75,202,23.23,233.8,94,23.22,289.35,161,8.64,22.0,3,4.08,0,2,775.9,457,1.6978,0.3258,0.3013,0.3729,0.0284,0.0066,0.1855,0.0,5.0778,0.3729,28.2385,Night,59.17,0.0763
755-9559,1,92,263.3,202,32.68,255.55,99,24.22,265.4,99,8.63,25.6,2,6.96,0,2,784.25,400,1.9606,0.3357,0.3259,0.3384,0.0326,0.005,0.2719,0.0,4.3478,0.3384,5.188,Night,72.49,0.0924
755-9577,1,63,281.4,208,44.29,231.5,99,29.29,286.8,89,9.86,14.46,4,3.5,0,2,799.7,396,2.0194,0.3519,0.2895,0.3586,0.0181,0.0101,0.242,0.0,6.2857,0.3586,30.4884,Night,86.94,0.1087
755-9579,1,99,242.2,203,41.12,269.2,225,28.58,293.0,96,9.02,9.4,6,2.32,0,2,804.4,524,1.5351,0.3011,0.3347,0.3642,0.0117,0.0115,0.2468,0.0,5.2929,0.3642,25.4168,Night,81.04,0.1007
755-9587,0,228,232.3,203,41.24,242.4,157,23.9,292.3,153,6.89,21.3,4,2.82,0,1,767.0,513,1.4951,0.3029,0.316,0.3811,0.0278,0.0078,0.1324,0.0,2.25,0.3811,32.1248,Night,74.85,0.0976
755-9588,0,255,226.8,96,45.03,229.2,202,26.22,309.8,150,8.52,14.96,2,2.95,0,2,765.8,448,1.7094,0.2962,0.2993,0.4045,0.0195,0.0045,0.1972,0.0,1.7569,0.4045,47.2425,Night,82.72,0.108
755-9589,1,200,282.5,206,41.24,268.2,166,25.57,282.2,226,8.28,20.5,4,2.82,0,2,832.9,598,1.3928,0.3392,0.322,0.3388,0.0246,0.0067,0.1376,0.0,2.99,0.3392,8.1709,Day,77.91,0.0935
755-9595,1,82,229.2,94,32.12,404.6,202,29.03,292.8,95,6.62,21.1,6,4.48,0,2,926.6,391,2.3698,0.2474,0.4367,0.316,0.0228,0.0153,0.2123,0.0,4.7683,0.4367,88.7969,Evening,72.25,0.078
755-9597,1,216,272.55,119,42.2,256.05,200,24.29,292.6,93,8.86,9.8,5,3.23,0,2,821.2,412,1.9932,0.3319,0.3118,0.3563,0.0119,0.0121,0.3296,0.0,1.9074,0.3563,18.3037,Night,78.58,0.0957
755-9599,1,82,282.5,94,42.26,282.2,92,26.22,290.3,97,8.54,20.6,6,3.23,0,2,855.0,283,3.0212,0.3304,0.3301,0.3395,0.0241,0.0212,0.1568,0.0,3.4512,0.3395,4.5924,Night,80.25,0.0939
755-9756,0,202,260.6,208,55.8,233.0,92,28.99,275.9,92,9.26,9.4,3,2.32,0,2,769.5,392,1.963,0.3387,0.3028,0.3585,0.0122,0.0077,0.2468,0.0,1.9406,0.3585,21.7419,Night,96.37,0.1252
755-9759,1,93,255.7,68,28.46,282.8,95,27.14,282.2,98,8.54,11.6,3,4.04,0,2,820.7,261,3.1444,0.3116,0.3446,0.3439,0.0141,0.0115,0.3483,0.0,2.8065,0.3446,15.4759,Evening,68.18,0.0831
755-9766,1,212,228.3,202,26.92,247.06,202,22.86,260.0,91,8.98,9.2,2,2.48,0,2,735.36,495,1.4856,0.3105,0.336,0.3536,0.0125,0.004,0.2696,0.0,2.3349,0.3536,15.9388,Night,61.24,0.0833
755-9768,1,208,232.0,204,30.16,262.0,93,22.32,263.2,218,22.32,21.65,4,3.46,0,2,757.2,515,1.4703,0.3064,0.346,0.3476,0.0286,0.0078,0.1598,0.0,2.476,0.3476,17.6771,Night,78.26,0.1034
755-9775,1,200,229.55,202,32.28,262.2,150,27.46,224.3,98,9.22,22.4,2,6.44,0,2,716.05,450,1.5912,0.3206,0.3662,0.3132,0.0313,0.0044,0.2875,0.0,2.25,0.3662,20.5345,Evening,75.4,0.1053
755-9778,1,96,236.2,204,36.99,232.9,244,29.22,292.5,68,10.55,14.8,4,2.33,0,2,761.6,516,1.476,0.3101,0.3058,0.3841,0.0194,0.0078,0.1574,0.0,5.375,0.3841,33.4981,Night,79.09,0.1038
755-9785,1,94,259.2,62,39.88,270.2,88,23.22,262.1,216,8.22,21.16,2,2.62,0,2,791.5,366,2.1626,0.3275,0.3414,0.3311,0.0267,0.0055,0.1238,0.0,3.8936,0.3414,5.7012,Evening,73.94,0.0934
755-9797,1,56,310.25,94,32.36,295.7,206,24.31,228.55,168,9.16,9.95,4,2.2,0,2,834.5,468,1.7831,0.3718,0.3543,0.2739,0.0119,0.0085,0.2211,0.0,8.3571,0.3718,43.5808,Day,68.03,0.0815
755-9798,1,88,290.6,206,46.54,286.0,92,22.86,282.4,202,6.96,9.9,2,2.92,0,2,859.0,500,1.718,0.3383,0.3329,0.3288,0.0115,0.004,0.2949,0.0,5.6818,0.3383,4.1102,Day,79.28,0.0923
755-9858,1,262,292.2,93,39.16,271.15,208,28.28,280.2,90,8.04,22.11,4,3.32,0,2,843.55,391,2.1574,0.3464,0.3214,0.3322,0.0262,0.0102,0.1502,0.0,1.4924,0.3464,10.5594,Day,78.8,0.0934
755-9876,1,64,282.8,69,29.44,310.8,92,22.92,223.3,204,6.9,9.2,5,2.82,0,2,816.9,365,2.2381,0.3462,0.3805,0.2734,0.0113,0.0137,0.3065,0.0,5.7031,0.3805,44.685,Evening,62.08,0.076
755-9877,1,217,232.3,84,49.86,292.11,203,27.24,266.2,94,9.82,20.3,6,2.92,10,2,790.61,381,2.0751,0.2938,0.3695,0.3367,0.0257,0.0157,0.1438,0.0262,1.7558,0.3695,29.9938,Evening,89.84,0.1136
755-9895,0,224,256.0,92,44.68,296.11,203,28.26,238.05,110,14.67,23.0,6,3.17,0,2,790.16,405,1.951,0.324,0.3747,0.3013,0.0291,0.0148,0.1378,0.0,1.808,0.3747,29.7265,Evening,90.78,0.1149
755-9897,1,145,229.6,76,69.63,292.11,202,28.2,288.9,94,9.82,20.2,7,2.82,0,2,810.61,372,2.1791,0.2832,0.3604,0.3564,0.0249,0.0188,0.1396,0.0,2.5655,0.3604,35.2001,Evening,110.47,0.1363
755-9899,1,86,249.4,150,68.96,282.5,96,25.22,287.4,146,8.63,9.5,5,2.82,0,2,819.3,392,2.0901,0.3044,0.3448,0.3508,0.0116,0.0128,0.2968,0.0,4.5581,0.3508,20.6705,Night,105.63,0.1289
755-9957,1,88,289.9,156,28.86,262.2,96,28.15,262.9,220,6.09,15.25,6,2.92,0,2,815.0,472,1.7267,0.3557,0.3217,0.3226,0.0187,0.0127,0.1915,0.0,5.3636,0.3557,15.7944,Day,66.02,0.081
755-9975,1,92,233.1,200,48.21,248.0,209,22.82,249.7,200,4.8,22.55,4,4.89,14,2,730.8,609,1.2,0.319,0.3394,0.3417,0.0309,0.0066,0.2169,0.023,6.6196,0.3417,9.1329,Night,80.72,0.1105
755-9978,1,151,239.55,202,32.8,232.9,218,29.22,292.2,98,9.43,9.9,4,2.53,0,2,764.65,518,1.4762,0.3133,0.3046,0.3821,0.0129,0.0077,0.2556,0.0,3.4305,0.3821,32.4878,Night,73.98,0.0968
755-9985,1,202,288.0,77,43.2,289.5,86,22.88,286.2,212,9.59,20.2,5,2.62,0,2,863.7,375,2.3032,0.3334,0.3352,0.3314,0.0234,0.0133,0.1297,0.0,1.8564,0.3352,1.6523,Evening,78.29,0.0906
755-9987,0,146,238.35,211,34.59,223.2,92,26.46,231.26,119,8.75,20.2,6,4.84,0,2,692.81,422,1.6417,0.344,0.3222,0.3338,0.0292,0.0142,0.2396,0.0,2.8904,0.344,7.5802,Day,74.64,0.1077
755-9989,0,99,257.6,202,38.88,258.5,149,28.74,228.2,202,8.24,20.9,7,5.86,0,2,744.3,553,1.3459,0.3461,0.3473,0.3066,0.0281,0.0127,0.2804,0.0,5.5859,0.3473,17.2398,Evening,81.72,0.1098
755-9995,1,62,262.2,78,30.27,289.35,146,23.63,262.2,209,3.89,9.9,2,2.86,0,2,813.75,433,1.8793,0.3222,0.3556,0.3222,0.0122,0.0046,0.2889,0.0,6.9839,0.3556,15.6751,Evening,60.65,0.0745
755-9997,1,150,268.8,98,42.44,292.2,149,27.38,266.2,97,9.68,9.15,6,2.43,0,2,827.2,344,2.4047,0.325,0.3532,0.3218,0.0111,0.0174,0.2656,0.0,2.2933,0.3532,14.3197,Evening,81.93,0.099
755-9998,1,206,231.7,99,29.24,282.8,212,23.6,288.2,200,20.22,8.7,2,2.75,0,2,802.7,511,1.5708,0.2887,0.3523,0.359,0.0108,0.0039,0.3161,0.0,2.4806,0.359,31.1786,Night,75.81,0.0944
756-5599,1,82,292.2,91,29.08,276.05,91,23.17,285.9,202,6.9,14.7,5,8.26,0,2,854.15,384,2.2243,0.3421,0.3232,0.3347,0.0172,0.013,0.5619,0.0,4.6829,0.3421,8.1398,Day,67.41,0.0789
756-5785,1,242,286.2,110,30.6,243.4,204,28.28,291.3,99,9.12,20.2,4,2.29,0,2,820.9,413,1.9877,0.3486,0.2965,0.3549,0.0246,0.0097,0.1134,0.0,1.7066,0.3549,26.3067,Night,70.29,0.0856
756-5897,0,86,282.2,98,26.3,262.6,202,28.28,262.45,210,9.18,9.8,4,2.92,0,2,807.25,510,1.5828,0.3496,0.3253,0.3251,0.0121,0.0078,0.298,0.0,5.9302,0.3496,11.3596,Day,66.68,0.0826
